,Unnamed: 0,location_name,address,lat,lng
2051,2051,Marinello School of Beauty - Los Angeles,"2700 Colorado Blvd Ste 266, Los Angeles, CA 90041",34.1409207,-118.2250677
2052,2052,Marymount California University,"30800 Palos Verdes Dr. East, Rancho Palos Verdes, CA 90275-6299",33.7344926,-118.3337755
2053,2053,Marymount California University - San Pedro Waterfront Campus,"222 West Sixth Street, San Pedro, CA 90731-3316",33.7390365,-118.2816227
2054,2054,Marymount California University - Lakeside Campus,"3700 Country Club Drive, Lucerne, CA 95458",39.0892681,-122.7887447
2055,2055,Mendocino College,"1000 Hensley Creek Road, Ukiah, CA 95482",39.18868459999999,-123.2276344
2056,2056,Menlo College,"1000 El Camino Real, Atherton, CA 94027-4301",37.45621149999999,-122.1923422
2057,2057,Merced College,"3600 M St, Merced, CA 95348-2898",37.3336824,-120.4730031
2058,2058,Merritt College,"12500 Campus Dr, Oakland, CA 94619-3196",37.79336079999999,-122.1668027
2059,2059,Mills College,"5000 MacArthur Blvd, Oakland, CA 94613",37.7773714,-122.1842278
2060,2060,Miracosta College,"One Barnard Dr, Oceanside, CA 92056-3899",33.1903058,-117.3010225
2061,2061,Marinello School of Beauty - San Francisco,"1035 Market Street, San Francisco, CA 94103",37.781237,-122.4108242
2062,2062,Marinello School of Beauty - Redding,"1560 Market Street, Redding, CA 96001",40.5834487,-122.3908824
2063,2063,Marinello School of Beauty - Chico,"2201 Pillsbury Road, Suites 160 & 170, Chico, CA 95926",39.7566012,-121.8484111
2064,2064,Marinello School of Beauty - Fresno,"3117 West Shaw Avenue, Suite 108, Fresno, CA 93711",36.8076002,-119.8473936
2065,2065,Mission College,"3000 Mission College Blvd, Santa Clara, CA 95054-1897",37.3912164,-121.9820461
2066,2066,Modern Beauty Academy,"699 South C St, Oxnard, CA 93030",34.19529929999999,-119.1814228
2067,2067,Brightwood College - North Hollywood,"15400 West Sherman Way, Suite 101, Van Nuys, CA 91406",34.20062,-118.4685668
2068,2068,Kaplan College - Riverside,"1635 Spruce Street, Riverside, CA 92507-0000",33.9908174,-117.3470492
2069,2069,Modesto Junior College,"435 College Ave, Modesto, CA 95350-5800",37.6511684,-121.0091396
2070,2070,Moler Barber College,"3815 Telegraph Ave, Oakland, CA 94609-2419",37.8270677,-122.2653666
2071,2071,Monterey Peninsula College,"980 Fremont St, Monterey, CA 93940-4799",36.5893339,-121.8869455
2072,2072,Montessori Teacher Education Center - San Francisco Bay Area,"790 East Duane Avenue, Sunnyvale, CA 94085",37.3864836,-122.0105748
2073,2073,Montessori Teacher Education Center - San Francisco Bay,"080 La Selva Street, San Mateo, CA 94404",37.5410232,-122.2840455
2074,2074,Montessori Teacher Education Center - San Francisco Bay,"1030 East Merced Avenue, West Covina, CA 91790",34.0535067,-117.9239229
2075,2075,Montessori Center for Teacher Education (San Diego),"4544 Pocahontas Ave., San Diego, CA 92117",32.8252873,-117.2092187
2076,2076,Montessori Western Teacher Training Program,"5856 Belgrave Avenue, Garden Grove, CA 92845",33.7852039,-118.0317368
2077,2077,Moorpark College,"7075 Campus Rd, Moorpark, CA 93021-1695",34.2996142,-118.8341914
2078,2078,Moro Beauty College,"124 North Brand Boulevard, Glendale, CA 91203",34.1471851,-118.2546952
2079,2079,Mt San Antonio College,"1100 N Grand Ave, Walnut, CA 91789-1399",34.0482035,-117.845125
2080,2080,Mount Saint Mary's University,"12001 Chalon Road, Los Angeles, CA 90049",34.0841198,-118.481594
2081,2081,Mount Saint Mary's University - Doheny Campus,"10 Chester Place, Los Angeles, CA 90007",34.0310878,-118.2760959
2082,2082,Mt San Jacinto College,"1499 N State St, San Jacinto, CA 92583-2399",33.8066222,-116.96941
2083,2083,Mueller College,"123 Camino de la Reina, Suite 100 North, San Diego, CA 92108",32.76508400000001,-117.1639023
2084,2084,Mueller College - San Diego,"4607 Park Boulevard, San Diego, CA 92116",32.7612469,-117.1460439
2085,2085,Musicians Institute,"6752 Hollywood Boulevard, Hollywood, CA 90028",34.1012342,-118.3375983
2086,2086,Napa Valley College,"2277 Napa-Vallejo Hwy, Napa, CA 94558-6236",38.2740455,-122.2751567
2087,2087,Everest Institute - San Francisco,"814 Mission Street,  Suite 500, San Francisco, CA 94103-9946",37.7844141,-122.4049151
2088,2088,Everest College - Reseda,"18040 Sherman Way, Suite 400, Reseda, CA 91335",34.2008031,-118.5268034
2089,2089,Everest College - Los Angeles,"3460 Wilshire Blvd Ste 500, Los Angeles, CA 90010",34.0613055,-118.3000389
2090,2090,Everest Institute - San Jose,"1245 South Winchester Blvd #102, San Jose, CA 95128",37.3029625,-121.9505551
2091,2091,Everest College - Gardena,"1045 W. Redondo Beach Boulevard, Suite 275, Gardena, CA 90247",33.8929046,-118.2930642
2092,2092,Everest College - Alhambra,"2215 Mission Rd, Alhambra, CA 91803",34.080279,-118.1487484
2093,2093,Everest Institute - Chelsea,"70 Everett Ave - 4th Floor, Chelsea, MA 02150",42.3930134,-71.0405838
2094,2094,Everest College - Bedford Park,"7414 S. Cicero Avenue, Bedford Park, IL 60629",41.7576842,-87.7432688
2095,2095,Everest College - San Bernardino,"217 Club Center Drive, Ste. A, San Bernardino, CA 92408",34.0596287,-117.2813731
2096,2096,Everest College - Ontario,"1819 South Excise Avenue, Ontario, CA 91761",34.0404887,-117.5767732
2097,2097,Everest College - Santa Ana,"500 West Santa Ana Boulevard, Santa Ana, CA 92701",33.7476518,-117.8730832
2098,2098,The National Hispanic University,"14271 Story Rd, San Jose, CA 95127-3823",37.3598845,-121.8160472
2099,2099,National Holistic Institute,"5900 Doyle Street, Emeryville, CA 94608",37.8420374,-122.2878068
2100,2100,National Holistic Institute - Encino,"10969 Ventura Blvd., Studio City, CA 91604",34.1404412,-118.3695752
